	0	1	2	3	4	5
0	Cấp 1	Cấp 2	Cấp 3	Cấp 4	Cấp 5	Tên ngành
1	A					NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN
2		01				Nông nghiệp và hoạt động dịch vụ có liên quan
3			011			Trồng cây hàng năm
4				0111	01110	Trồng lúa
5				0112	01120	Trồng ngô và cây lương thực có hạt khác
6				0113	01130	Trồng cây lấy củ có chất bột
7				0114	01140	Trồng cây mía
8				0115	01150	Trồng cây thuốc lá, thuốc lào
9				0116	01160	Trồng cây lấy sợi
10				0117	01170	Trồng cây có hạt chứa dầu
11				0118		Trồng rau, đậu các loại và trồng hoa
12					01181	Trồng rau các loại
13					01182	Trồng đậu các loại
14					01183	Trồng hoa hàng năm
15				0119		Trồng cây hàng năm khác
16					01191	Trồng cây gia vị hàng năm
17					01192	Trồng cây dược liệu, hương liệu hàng năm
18					01199	Trồng cây hàng năm khác còn lại
19			012			Trồng cây lâu năm
20				0121		Trồng cây ăn quả
21					01211	Trồng nho
22					01212	Trồng cây ăn quả vùng nhiệt đới và cận nhiệt đới
23					01213	Trồng cam, quýt và các loại quả có múi khác
24					01214	Trồng táo, mận và các loại quả có hạt như táo
25					01215	Trồng nhãn, vải, chôm chôm
26					01219	Trồng cây ăn quả khác
27				0122	01220	Trồng cây lấy quả chứa dầu
28				0123	01230	Trồng cây điều
29				0124	01240	Trồng cây hồ tiêu
30				0125	01250	Trồng cây cao su
31				0126	01260	Trồng cây cà phê
32				0127	01270	Trồng cây chè
33				0128		Trồng cây gia vị, cây dược liệu, cây hương liệu lâu năm
34					01281	Trồng cây gia vị lâu năm
35					01282	Trồng cây dược liệu, hương liệu lâu năm
36				0129		Trồng cây lâu năm khác
37					01291	Trồng cây cảnh lâu năm
38					01299	Trồng cây lâu năm khác còn lại
39			013			Nhân và chăm sóc cây giống nông nghiệp
40				0131	01310	Nhân và chăm sóc cây giống hàng năm
41				0132	01320	Nhân và chăm sóc cây giống lâu năm
42			014			Chăn nuôi
43				0141		Chăn nuôi trâu, bò và sản xuất giống trâu, bò
44					01411	Sản xuất giống trâu, bò
45					01412	Chăn nuôi trâu, bò
46				0142		Chăn nuôi ngựa, lừa, la và sản xuất giống ngựa, lừa
47					01421	Sản xuất giống ngựa, lừa
48					01422	Chăn nuôi ngựa, lừa, la
49				0144		Chăn nuôi dê, cừu và sản xuất giống dê, cừu, hươu, nai
50					01441	Sản xuất giống dê, cừu, hươu, nai
51					01442	Chăn nuôi dê, cừu, hươu, nai
52				0145		Chăn nuôi lợn và sản xuất giống lợn
53					01451	Sản xuất giống lợn
54					01452	Chăn nuôi lợn
55				0146		Chăn nuôi gia cầm
56					01461	Hoạt động ấp trứng và sản xuất giống gia cầm
57					01462	Chăn nuôi gà
58					01463	Chăn nuôi vịt, ngan, ngỗng
59					01469	Chăn nuôi gia cầm khác
60				0149	01490	Chăn nuôi khác
61			015	0150	01500	Trồng trọt, chăn nuôi hỗn hợp
62			016			Hoạt động dịch vụ nông nghiệp
63				0161	01610	Hoạt động dịch vụ trồng trọt
64				0162	01620	Hoạt động dịch vụ chăn nuôi
65				0163	01630	Hoạt động dịch vụ sau thu hoạch
66				0164	01640	Xử lý hạt giống để nhân giống
67			017	0170	01700	Săn bắt, đánh bẫy và hoạt động dịch vụ có liên quan
68		02				Lâm nghiệp và hoạt động dịch vụ có liên quan
69			021	0210		Trồng rừng, chăm sóc rừng và ươm giống cây lâm nghiệp
70					02101	Trồng rừng và chăm sóc rừng cây thân gỗ
71					02102	Trồng rừng và chăm sóc rừng họ tre
72					02103	Trồng rừng và chăm sóc rừng khác
73					02104	Ươm giống cây lâm nghiệp
74			022	0220	02200	Khai thác gỗ
75			023			Khai thác, thu nhặt lâm sản khác trừ gỗ
76				0231	02310	Khai thác lâm sản khác trừ gỗ
77				0232	02320	Thu nhặt lâm sản khác trừ gỗ
78			024	0240	02400	Hoạt động dịch vụ lâm nghiệp
79		03				Khai thác, nuôi trồng thuỷ sản
80			031			Khai thác thuỷ sản
81				0311	03110	Khai thác thuỷ sản biển
82				0312	03120	Khai thác thuỷ sản nội địa
83			032			Nuôi trồng thuỷ sản
84				0321		Nuôi trồng thuỷ sản biển
85					03211	Nuôi cá
86					03212	Nuôi tôm
87					03213	Nuôi thủy sản khác
88					03214	Sản xuất giống thủy sản biển
89				0322		Nuôi trồng thuỷ sản nội địa
90					03221	Nuôi cá
91					03222	Nuôi tôm
92					03223	Nuôi thủy sản khác
93					03224	Sản xuất giống thủy sản nội địa
94	B					KHAI KHOÁNG
95		05				Khai thác than cứng và than non
96			051	0510	05100	Khai thác và thu gom than cứng
97			052	0520	05200	Khai thác và thu gom than non
98		06				Khai thác dầu thô và khí đốt tự nhiên
99			061	0610	06100	Khai thác dầu thô
100			062	0620	06200	Khai thác khí đốt tự nhiên
101		07				Khai thác quặng kim loại
102			071	0710	07100	Khai thác quặng sắt
